date,asset,realized,historical_mean,ols,ols_restricted,ols4,ols4_restricted,ridge,ridge_restricted,elastic_net,elastic_net_restricted,random_forest
1968-03-01,Utils_excess,-0.0432,0.00859833,0.00255707,0.00255707,0.00704937,0.00704937,0.00172396,0.00172396,0.00859833,0.00859833,0.00038968
1968-04-01,Durbl_excess,0.1126,0.012065,-0.0226216,0.0,-0.01243669,0.0,-0.00571192,0.0,0.00805381,0.00805381,-0.00121907
1968-04-01,Enrgy_excess,0.0522,0.01061708,-0.00134135,0.0,0.00287747,0.00287747,0.00330539,0.00330539,0.01061708,0.01061708,0.00643021
1968-04-01,HiTec_excess,0.1201,0.01403042,0.00739711,0.00739711,0.01829932,0.01829932,0.01163902,0.01163902,0.01403042,0.01403042,0.02192468
1968-04-01,Hlth_excess,0.1147,0.01212208,0.01031592,0.01031592,0.00548636,0.00548636,0.01211535,0.01211535,0.01212208,0.01212208,0.01403173
1968-04-01,Manuf_excess,0.1022,0.00960875,-0.00790775,0.0,-0.00273005,0.0,-0.0005122,0.0,0.00960875,0.00960875,0.0068237
1968-04-01,NoDur_excess,0.1054,0.00781833,0.00580349,0.00580349,0.01162738,0.01162738,0.0057116,0.0057116,0.00781833,0.00781833,0.01196406
1968-04-01,Other_excess,0.1151,0.00915292,-0.00433886,0.0,0.00648131,0.00648131,0.00213497,0.00213497,0.00915292,0.00915292,0.00961102
1968-04-01,Shops_excess,0.1179,0.0089625,-0.00227669,0.0,0.0090879,0.0090879,0.00307275,0.00307275,0.0089625,0.0089625,0.00642536
1968-04-01,Telcm_excess,0.0178,0.0061175,-0.00975423,0.0,0.00122061,0.00122061,0.00611062,0.00611062,0.00678853,0.00678853,0.00482626
1968-04-01,Utils_excess,0.0199,0.00814042,-0.00490257,0.0,0.00542835,0.00542835,-0.00088356,0.0,0.00814042,0.00814042,0.00173876
1968-05-01,Durbl_excess,-0.0079,0.01248875,0.00505271,0.00505271,-0.01281286,0.0,0.00373218,0.00373218,0.00813186,0.00813186,0.00102866
1968-05-01,Enrgy_excess,0.0079,0.01036958,0.02006917,0.02006917,-0.00167566,0.0,0.00691416,0.00691416,0.01036958,0.01036958,0.00762064
1968-05-01,HiTec_excess,0.0338,0.01455875,0.04145718,0.04145718,0.02143795,0.02143795,0.02154461,0.02154461,0.01455875,0.01455875,0.01808446
1968-05-01,Hlth_excess,0.029,0.01251417,0.02884811,0.02884811,0.01171054,0.01171054,0.01251147,0.01251147,0.01251417,0.01251417,0.01405916
1968-05-01,Manuf_excess,0.0271,0.00993333,0.01594837,0.01594837,-0.00216577,0.0,0.0060219,0.0060219,0.00993333,0.00993333,0.00552682
1968-05-01,NoDur_excess,0.0455,0.008205,0.02764879,0.02764879,0.01492913,0.01492913,0.01385306,0.01385306,0.008205,0.008205,0.01565393
1968-05-01,Other_excess,0.0578,0.0095,0.02688071,0.02688071,0.00715318,0.00715318,0.01087891,0.01087891,0.0095,0.0095,0.01115139
