date,asset,realized,historical_mean,ols4,ols4_restricted
1968-07-01,Manuf_excess,-0.0445,0.00950181,0.00130739,0.00130739
1968-07-01,Enrgy_excess,0.048,0.00896145,-0.0008294,0.0
1968-07-01,HiTec_excess,-0.0599,0.0119002,0.01618423,0.01618423
1968-07-01,Telcm_excess,-0.0068,0.00622329,0.00249737,0.00249737
1968-07-01,Shops_excess,-0.0564,0.00877129,0.00496883,0.00496883
1968-07-01,Hlth_excess,-0.046,0.00977269,0.00972736,0.00972736
1968-07-01,Utils_excess,-0.003,0.00750863,0.00649426,0.00649426
1968-07-01,Other_excess,-0.0349,0.00781285,0.003423,0.003423
1968-08-01,NoDur_excess,0.0232,0.00713667,0.00733272,0.00733272
1968-08-01,Durbl_excess,0.0083,0.01178637,-0.00117951,0.0
1968-08-01,Manuf_excess,0.0292,0.00939359,0.00084855,0.00084855
1968-08-01,Enrgy_excess,0.0088,0.00903968,0.00054182,0.00054182
1968-08-01,HiTec_excess,0.0012,0.01175631,0.01464446,0.01464446
1968-08-01,Telcm_excess,0.0087,0.00619719,0.00260125,0.00260125
1968-08-01,Shops_excess,0.0184,0.00864068,0.00384009,0.00384009
1968-08-01,Hlth_excess,0.0026,0.00966092,0.00869079,0.00869079
1968-08-01,Utils_excess,-0.0129,0.00748758,0.00667941,0.00667941
1968-08-01,Other_excess,0.022,0.00772725,0.00274315,0.00274315
1968-09-01,NoDur_excess,0.0444,0.0071688,0.00802916,0.00802916
1968-09-01,Durbl_excess,0.0621,0.0117794,0.00050921,0.00050921
1968-09-01,Manuf_excess,0.0412,0.0094332,0.00055718,0.00055718
1968-09-01,Enrgy_excess,0.0308,0.0090392,0.00067104,0.00067104
1968-09-01,HiTec_excess,0.0251,0.0117352,0.01291344,0.01291344
1968-09-01,Telcm_excess,0.0254,0.0062022,0.00200217,0.00200217
1968-09-01,Shops_excess,0.0741,0.0086602,0.00515583,0.00515583
1968-09-01,Hlth_excess,0.0041,0.0096468,0.00870696,0.00870696
1968-09-01,Utils_excess,-0.0017,0.0074468,0.00437371,0.00437371
1968-09-01,Other_excess,0.0901,0.0077558,0.00305796,0.00305796
1968-10-01,NoDur_excess,0.0043,0.00724311,0.0086191,0.0086191
1968-10-01,Durbl_excess,0.0423,0.01187984,0.00115199,0.00115199
1968-10-01,Manuf_excess,0.0049,0.00949661,0.00059952,0.00059952
1968-10-01,Enrgy_excess,0.0215,0.00908263,0.00045483,0.00045483
1968-10-01,HiTec_excess,-0.0534,0.01176188,0.0126255,0.0126255
1968-10-01,Telcm_excess,0.0273,0.00624052,0.00225738,0.00225738
1968-10-01,Shops_excess,0.0025,0.00879082,0.00623596,0.00623596
1968-10-01,Hlth_excess,-0.0048,0.00963573,0.0084576,0.0084576
1968-10-01,Utils_excess,0.0005,0.00742854,0.00366409,0.00366409
1968-10-01,Other_excess,0.0065,0.00792016,0.00415222,0.00415222
1968-11-01,NoDur_excess,0.0425,0.00723725,0.00894554,0.00894554
1968-11-01,Durbl_excess,-0.0056,0.01194044,0.00177459,0.00177459
1968-11-01,Manuf_excess,0.0535,0.00948745,-0.00012071,0.0
1968-11-01,Enrgy_excess,0.0526,0.00910737,0.00088114,0.00088114
1968-11-01,HiTec_excess,0.0819,0.01163207,0.01149838,0.01149838
1968-11-01,Telcm_excess,0.0497,0.00628247,0.00171016,0.00171016
1968-11-01,Shops_excess,0.0472,0.00877829,0.00640854,0.00640854
