date,asset,realized,historical_mean,ridge,ridge_restricted,ridge_alpha
1968-07-01,NoDur_excess,-0.0417,0.00723474,0.00588226,0.00588226,3000.0
1968-07-01,Durbl_excess,-0.034,0.01187831,0.00429342,0.00429342,3000.0
1968-07-01,Manuf_excess,-0.0445,0.00950181,0.00579037,0.00579037,3000.0
1968-07-01,Enrgy_excess,0.048,0.00896145,0.00474286,0.00474286,1000.0
1968-07-01,HiTec_excess,-0.0599,0.0119002,0.01140531,0.01140531,3000.0
1968-07-01,Telcm_excess,-0.0068,0.00622329,0.0062209,0.0062209,1000000.0
1968-07-01,Shops_excess,-0.0564,0.00877129,0.00472122,0.00472122,1000.0
1968-07-01,Hlth_excess,-0.046,0.00977269,0.00976152,0.00976152,1000000.0
1968-07-01,Utils_excess,-0.003,0.00750863,0.00668904,0.00668904,1000.0
1968-07-01,Other_excess,-0.0349,0.00781285,0.00532897,0.00532897,3000.0
1968-08-01,NoDur_excess,0.0232,0.00713667,0.00586372,0.00586372,3000.0
1968-08-01,Durbl_excess,0.0083,0.01178637,0.00433237,0.00433237,3000.0
1968-08-01,Manuf_excess,0.0292,0.00939359,0.00508167,0.00508167,3000.0
1968-08-01,Enrgy_excess,0.0088,0.00903968,0.00427677,0.00427677,1000.0
1968-08-01,HiTec_excess,0.0012,0.01175631,0.01112223,0.01112223,3000.0
1968-08-01,Telcm_excess,0.0087,0.00619719,0.00619624,0.00619624,1000000.0
1968-08-01,Shops_excess,0.0184,0.00864068,0.00596522,0.00596522,1000.0
1968-08-01,Hlth_excess,0.0026,0.00966092,0.00964934,0.00964934,1000000.0
1968-08-01,Utils_excess,-0.0129,0.00748758,0.00880082,0.00880082,1000.0
1968-08-01,Other_excess,0.022,0.00772725,0.00503516,0.00503516,3000.0
1968-09-01,NoDur_excess,0.0444,0.0071688,0.00659457,0.00659457,3000.0
1968-09-01,Durbl_excess,0.0621,0.0117794,0.00580845,0.00580845,3000.0
1968-09-01,Manuf_excess,0.0412,0.0094332,0.00539825,0.00539825,3000.0
1968-09-01,Enrgy_excess,0.0308,0.0090392,0.00285423,0.00285423,1000.0
1968-09-01,HiTec_excess,0.0251,0.0117352,0.01168877,0.01168877,3000.0
1968-09-01,Telcm_excess,0.0254,0.0062022,0.00620037,0.00620037,1000000.0
1968-09-01,Shops_excess,0.0741,0.0086602,0.00921111,0.00921111,1000.0
1968-09-01,Hlth_excess,0.0041,0.0096468,0.00963915,0.00963915,1000000.0
1968-09-01,Utils_excess,-0.0017,0.0074468,0.00961482,0.00961482,1000.0
1968-09-01,Other_excess,0.0901,0.0077558,0.00512689,0.00512689,3000.0
1968-10-01,NoDur_excess,0.0043,0.00724311,0.00635567,0.00635567,3000.0
1968-10-01,Durbl_excess,0.0423,0.01187984,0.00582126,0.00582126,3000.0
1968-10-01,Manuf_excess,0.0049,0.00949661,0.00583916,0.00583916,3000.0
1968-10-01,Enrgy_excess,0.0215,0.00908263,0.00380606,0.00380606,1000.0
1968-10-01,HiTec_excess,-0.0534,0.01176188,0.0113234,0.0113234,3000.0
1968-10-01,Telcm_excess,0.0273,0.00624052,0.00623688,0.00623688,1000000.0
1968-10-01,Shops_excess,0.0025,0.00879082,0.00752372,0.00752372,1000.0
1968-10-01,Hlth_excess,-0.0048,0.00963573,0.00962713,0.00962713,1000000.0
1968-10-01,Utils_excess,0.0005,0.00742854,0.00694623,0.00694623,1000.0
1968-10-01,Other_excess,0.0065,0.00792016,0.00540517,0.00540517,3000.0
1968-11-01,NoDur_excess,0.0425,0.00723725,0.0059276,0.0059276,3000.0
1968-11-01,Durbl_excess,-0.0056,0.01194044,0.00542367,0.00542367,3000.0
1968-11-01,Manuf_excess,0.0535,0.00948745,0.00572057,0.00572057,3000.0
1968-11-01,Enrgy_excess,0.0526,0.00910737,0.00430275,0.00430275,1000.0
1968-11-01,HiTec_excess,0.0819,0.01163207,0.01058061,0.01058061,3000.0
1968-11-01,Telcm_excess,0.0497,0.00628247,0.00627808,0.00627808,1000000.0
1968-11-01,Shops_excess,0.0472,0.00877829,0.00581127,0.00581127,1000.0
1968-11-01,Hlth_excess,0.077,0.00960697,0.00959683,0.00959683,1000000.0
1968-11-01,Utils_excess,0.0839,0.00741474,0.00544951,0.00544951,1000.0
1968-11-01,Other_excess,0.0729,0.00791733,0.00517312,0.00517312,3000.0
1968-12-01,NoDur_excess,-0.0145,0.00730736,0.00648243,0.00648243,3000.0
1968-12-01,Durbl_excess,-0.0489,0.01190557,0.00583085,0.00583085,3000.0
1968-12-01,Manuf_excess,-0.0375,0.00957495,0.00590033,0.00590033,3000.0
1968-12-01,Enrgy_excess,-0.0296,0.00919384,0.00366842,0.00366842,1000.0
1968-12-01,HiTec_excess,-0.0577,0.01177177,0.01125294,0.01125294,3000.0
1968-12-01,Telcm_excess,-0.071,0.00636879,0.00636475,0.00636475,1000000.0
1968-12-01,Shops_excess,-0.0456,0.00885467,0.00774634,0.00774634,1000.0
1968-12-01,Hlth_excess,-0.0145,0.00974095,0.00973377,0.00973377,1000000.0
1968-12-01,Utils_excess,-0.0335,0.0075668,0.0066896,0.0066896,1000.0
1968-12-01,Other_excess,-0.0411,0.00804652,0.00546618,0.00546618,3000.0
1969-01-01,NoDur_excess,-0.0172,0.00726409,0.00652914,0.00652914,3000.0
1969-01-01,Durbl_excess,-0.0225,0.01178492,0.00525548,0.00525548,3000.0
1969-01-01,Manuf_excess,-0.0098,0.00948155,0.00524611,0.00524611,3000.0
1969-01-01,Enrgy_excess,-0.0167,0.00911687,0.00231533,0.00231533,1000.0
1969-01-01,HiTec_excess,-0.0521,0.01163393,0.01121799,0.01121799,3000.0
1969-01-01,Telcm_excess,0.0064,0.00621528,0.00620858,0.00620858,1000000.0
1969-01-01,Shops_excess,-0.015,0.00874663,0.00772583,0.00772583,1000.0
1969-01-01,Hlth_excess,-0.0076,0.00969286,0.00968597,0.00968597,1000000.0
1969-01-01,Utils_excess,0.0191,0.00748532,0.00754966,0.00754966,1000.0
1969-01-01,Other_excess,0.0025,0.00794901,0.00489278,0.00489278,3000.0
1969-02-01,NoDur_excess,-0.0708,0.00721564,0.00663953,0.00663953,3000.0
1969-02-01,Durbl_excess,-0.0404,0.01171703,0.00456643,0.00456643,3000.0
1969-02-01,Manuf_excess,-0.0619,0.00944337,0.00405219,0.00405219,3000.0
1969-02-01,Enrgy_excess,-0.0541,0.00906574,-0.00018499,0.0,1000.0
1969-02-01,HiTec_excess,-0.0408,0.01150772,0.01076229,0.01076229,3000.0
1969-02-01,Telcm_excess,-0.038,0.00621564,0.00621144,0.00621144,1000000.0
1969-02-01,Shops_excess,-0.0461,0.0086996,0.00962078,0.00962078,1000.0
1969-02-01,Hlth_excess,-0.0563,0.00965861,0.00965048,0.00965048,1000000.0
1969-02-01,Utils_excess,-0.0568,0.00750832,0.0106132,0.0106132,1000.0
1969-02-01,Other_excess,-0.0887,0.00793822,0.0045692,0.0045692,3000.0
1969-03-01,NoDur_excess,0.0025,0.00706146,0.00464729,0.00464729,3000.0
1969-03-01,Durbl_excess,0.0464,0.01161403,0.0026779,0.0026779,3000.0
