date,asset,realized,historical_mean,elastic_net,elastic_net_restricted,elastic_net_alpha,elastic_net_l1_ratio
1968-10-01,NoDur_excess,0.0043,0.00724311,0.01077505,0.01077505,0.001,0.5
1968-10-01,Durbl_excess,0.0423,0.01187984,0.00916925,0.00916925,0.001,0.5
1968-10-01,Manuf_excess,0.0049,0.00949661,0.01044721,0.01044721,0.001,0.5
1968-10-01,Enrgy_excess,0.0215,0.00908263,0.00657553,0.00657553,0.001,0.5
1968-10-01,HiTec_excess,-0.0534,0.01176188,0.02253845,0.02253845,0.001,0.5
1968-10-01,Telcm_excess,0.0273,0.00624052,0.0060049,0.0060049,0.001,0.5
1968-10-01,Shops_excess,0.0025,0.00879082,0.01211371,0.01211371,0.001,0.5
1968-10-01,Hlth_excess,-0.0048,0.00963573,0.01314773,0.01314773,0.001,0.5
1968-10-01,Utils_excess,0.0005,0.00742854,0.00975623,0.00975623,0.001,0.5
1968-10-01,Other_excess,0.0065,0.00792016,0.01562406,0.01562406,0.001,0.5
1968-11-01,NoDur_excess,0.0425,0.00723725,0.00758708,0.00758708,0.001,0.5
1968-11-01,Durbl_excess,-0.0056,0.01194044,0.00672321,0.00672321,0.001,0.5
1968-11-01,Manuf_excess,0.0535,0.00948745,0.00889183,0.00889183,0.001,0.5
1968-11-01,Enrgy_excess,0.0526,0.00910737,0.00708179,0.00708179,0.001,0.5
1968-11-01,HiTec_excess,0.0819,0.01163207,0.01662562,0.01662562,0.001,0.5
1968-11-01,Telcm_excess,0.0497,0.00628247,0.00259748,0.00259748,0.001,0.5
1968-11-01,Shops_excess,0.0472,0.00877829,0.00627748,0.00627748,0.001,0.5
1968-11-01,Hlth_excess,0.077,0.00960697,0.01132322,0.01132322,0.001,0.5
1968-11-01,Utils_excess,0.0839,0.00741474,0.00247641,0.00247641,0.001,0.5
1968-11-01,Other_excess,0.0729,0.00791733,0.01265343,0.01265343,0.001,0.5
1968-12-01,NoDur_excess,-0.0145,0.00730736,0.00993591,0.00993591,0.001,0.5
1968-12-01,Durbl_excess,-0.0489,0.01190557,0.01195552,0.01195552,0.001,0.5
1968-12-01,Manuf_excess,-0.0375,0.00957495,0.01174314,0.01174314,0.001,0.5
1968-12-01,Enrgy_excess,-0.0296,0.00919384,0.00673537,0.00673537,0.001,0.5
1968-12-01,HiTec_excess,-0.0577,0.01177177,0.02041861,0.02041861,0.001,0.5
1968-12-01,Telcm_excess,-0.071,0.00636879,0.00296495,0.00296495,0.001,0.5
1968-12-01,Shops_excess,-0.0456,0.00885467,0.01099462,0.01099462,0.001,0.5
1968-12-01,Hlth_excess,-0.0145,0.00974095,0.01592167,0.01592167,0.001,0.5
1968-12-01,Utils_excess,-0.0335,0.0075668,0.00592167,0.00592167,0.001,0.5
1968-12-01,Other_excess,-0.0411,0.00804652,0.01544938,0.01544938,0.001,0.5
1969-01-01,NoDur_excess,-0.0172,0.00726409,0.01229313,0.01229313,0.001,0.5
1969-01-01,Durbl_excess,-0.0225,0.01178492,0.01168055,0.01168055,0.001,0.5
1969-01-01,Manuf_excess,-0.0098,0.00948155,0.00982904,0.00982904,0.001,0.5
1969-01-01,Enrgy_excess,-0.0167,0.00911687,0.00481304,0.00481304,0.001,0.5
1969-01-01,HiTec_excess,-0.0521,0.01163393,0.02144431,0.02144431,0.001,0.5
1969-01-01,Telcm_excess,0.0064,0.00621528,-0.00023012,0.0,0.001,0.5
1969-01-01,Shops_excess,-0.015,0.00874663,0.01174155,0.01174155,0.001,0.5
1969-01-01,Hlth_excess,-0.0076,0.00969286,0.01815844,0.01815844,0.001,0.5
1969-01-01,Utils_excess,0.0191,0.00748532,0.00738372,0.00738372,0.001,0.5
1969-01-01,Other_excess,0.0025,0.00794901,0.0141592,0.0141592,0.001,0.5
1969-02-01,NoDur_excess,-0.0708,0.00721564,0.01557438,0.01557438,0.001,0.5
1969-02-01,Durbl_excess,-0.0404,0.01171703,0.00600218,0.00600218,0.001,0.5
1969-02-01,Manuf_excess,-0.0619,0.00944337,-0.00154134,0.0,0.001,0.5
1969-02-01,Enrgy_excess,-0.0541,0.00906574,-0.00136368,0.0,0.001,0.5
1969-02-01,HiTec_excess,-0.0408,0.01150772,0.02162736,0.02162736,0.001,0.5
1969-02-01,Telcm_excess,-0.038,0.00621564,0.00867187,0.00867187,0.001,0.5
1969-02-01,Shops_excess,-0.0461,0.0086996,0.02009156,0.02009156,0.001,0.5
1969-02-01,Hlth_excess,-0.0563,0.00965861,0.01557833,0.01557833,0.001,0.5
1969-02-01,Utils_excess,-0.0568,0.00750832,0.01932805,0.01932805,0.001,0.5
1969-02-01,Other_excess,-0.0887,0.00793822,0.01186372,0.01186372,0.001,0.5
1969-03-01,NoDur_excess,0.0025,0.00706146,0.00497994,0.00497994,0.001,0.5
1969-03-01,Durbl_excess,0.0464,0.01161403,-0.00554169,0.0,0.001,0.5
1969-03-01,Manuf_excess,0.0219,0.00930237,-0.00574443,0.0,0.001,0.5
1969-03-01,Enrgy_excess,0.069,0.00894091,0.00408302,0.00408302,0.001,0.5
1969-03-01,HiTec_excess,0.0498,0.01140435,0.0034271,0.0034271,0.001,0.5
1969-03-01,Telcm_excess,-0.0088,0.00612826,-0.00401777,0.0,0.001,0.5
1969-03-01,Shops_excess,0.0461,0.0085913,-0.00844725,0.0,0.001,0.5
1969-03-01,Hlth_excess,0.0289,0.00952826,0.00767958,0.00767958,0.001,0.5
1969-03-01,Utils_excess,-0.0175,0.00738123,-0.00901223,0.0,0.001,0.5
1969-03-01,Other_excess,0.0028,0.00774723,0.00308424,0.00308424,0.001,0.5
1969-04-01,NoDur_excess,0.0052,0.00705247,0.0059857,0.0059857,0.001,0.5
1969-04-01,Durbl_excess,0.0069,0.01168264,-0.00034089,0.0,0.001,0.5
1969-04-01,Manuf_excess,0.0077,0.00932722,-0.00072288,0.0,0.001,0.5
1969-04-01,Enrgy_excess,-0.0089,0.00905937,0.01022562,0.01022562,0.001,0.5
1969-04-01,HiTec_excess,0.0333,0.01148008,0.00705611,0.00705611,0.001,0.5
1969-04-01,Telcm_excess,0.0715,0.00609882,-0.00436191,0.0,0.001,0.5
1969-04-01,Shops_excess,0.0341,0.00866529,-0.00525987,0.0,0.001,0.5
1969-04-01,Hlth_excess,0.0445,0.00956647,0.00968553,0.00968553,0.001,0.5
1969-04-01,Utils_excess,0.0081,0.00733215,-0.01044069,0.0,0.001,0.5
1969-04-01,Other_excess,0.013,0.00773748,0.00719473,0.00719473,0.001,0.5
1969-05-01,NoDur_excess,0.0073,0.00704882,0.00918397,0.00918397,0.001,0.5
1969-05-01,Durbl_excess,-0.0035,0.01167323,-0.0072904,0.0,0.001,0.5
1969-05-01,Manuf_excess,-0.0134,0.00932402,-0.0072217,0.0,0.001,0.5
1969-05-01,Enrgy_excess,0.0352,0.00902402,0.00592018,0.00592018,0.001,0.5
1969-05-01,HiTec_excess,-0.0208,0.01152303,0.01560721,0.01560721,0.001,0.5
