date,asset,realized,historical_mean,ols,ols_restricted
1969-03-01,Hlth_excess,0.0289,0.00952826,-0.00015498,0.0
1969-03-01,Utils_excess,-0.0175,0.00738123,-0.01677966,0.0
1969-03-01,Other_excess,0.0028,0.00774723,-0.0036785,0.0
1969-04-01,NoDur_excess,0.0052,0.00705247,-4.535e-05,0.0
1969-04-01,Durbl_excess,0.0069,0.01168264,-0.00565416,0.0
1969-04-01,Manuf_excess,0.0077,0.00932722,-0.00555023,0.0
1969-04-01,Enrgy_excess,-0.0089,0.00905937,0.00549071,0.00549071
1969-04-01,HiTec_excess,0.0333,0.01148008,0.00156239,0.00156239
1969-04-01,Telcm_excess,0.0715,0.00609882,-0.01186699,0.0
1969-04-01,Shops_excess,0.0341,0.00866529,-0.01281714,0.0
1969-04-01,Hlth_excess,0.0445,0.00956647,0.00340249,0.00340249
1969-04-01,Utils_excess,0.0081,0.00733215,-0.01713427,0.0
1969-04-01,Other_excess,0.013,0.00773748,0.00205567,0.00205567
1969-05-01,NoDur_excess,0.0073,0.00704882,0.00764186,0.00764186
1969-05-01,Durbl_excess,-0.0035,0.01167323,-0.01211019,0.0
1969-05-01,Manuf_excess,-0.0134,0.00932402,-0.01521649,0.0
1969-05-01,Enrgy_excess,0.0352,0.00902402,-0.0019824,0.0
1969-05-01,HiTec_excess,-0.0208,0.01152303,0.01107161,0.01107161
1969-05-01,Telcm_excess,0.0059,0.00622756,0.01211833,0.01211833
1969-05-01,Shops_excess,0.0,0.00871535,0.00271145,0.00271145
1969-05-01,Hlth_excess,0.012,0.00963524,0.00032982,0.00032982
1969-05-01,Utils_excess,-0.0046,0.00733366,0.00739914,0.00739914
1969-05-01,Other_excess,-0.0168,0.00774783,0.00476936,0.00476936
1969-06-01,NoDur_excess,-0.0788,0.00704931,0.01352949,0.01352949
1969-06-01,Durbl_excess,-0.065,0.01164342,0.01683334,0.01683334
1969-06-01,Manuf_excess,-0.0743,0.00927937,0.00468873,0.00468873
1969-06-01,Enrgy_excess,-0.1047,0.00907544,0.00148398,0.00148398
1969-06-01,HiTec_excess,-0.0067,0.01145953,0.02099027,0.02099027
1969-06-01,Telcm_excess,-0.0451,0.00622692,-0.00338604,0.0
1969-06-01,Shops_excess,-0.0602,0.00869823,0.01250564,0.01250564
1969-06-01,Hlth_excess,-0.0555,0.00963988,0.0218035,0.0218035
1969-06-01,Utils_excess,-0.0625,0.00731022,0.004152,0.004152
1969-06-01,Other_excess,-0.1103,0.00769961,0.01284541,0.01284541
1969-07-01,NoDur_excess,-0.0738,0.00688098,0.00413122,0.00413122
1969-07-01,Durbl_excess,-0.075,0.01149314,-0.00688649,0.0
1969-07-01,Manuf_excess,-0.0598,0.00911549,-0.00742277,0.0
1969-07-01,Enrgy_excess,-0.1017,0.00885235,0.003918,0.003918
1969-07-01,HiTec_excess,-0.0596,0.01142392,0.00995695,0.00995695
1969-07-01,Telcm_excess,-0.0503,0.00612627,0.00069803,0.00069803
1969-07-01,Shops_excess,-0.0898,0.00856314,-0.00506424,0.0
1969-07-01,Hlth_excess,-0.0326,0.00951216,0.00461448,0.00461448
1969-07-01,Utils_excess,-0.0351,0.00717333,-0.00484256,0.0
1969-07-01,Other_excess,-0.0966,0.00746824,0.00376973,0.00376973
