date,asset,realized,historical_mean,ridge_restricted,ols4_restricted,random_forest,elastic_net_restricted,ols_restricted
1968-04-01,Other_excess,0.1151,0.00745838,0.0049297,0.0,0.00784497,0.00670981,0.00243994
1968-04-01,Shops_excess,0.1179,0.00852444,0.0071786,0.00594352,0.00752729,0.00774967,0.00166702
1968-04-01,Telcm_excess,0.0178,0.00617313,0.00616789,0.0,0.00813074,0.0,0.0
1968-04-01,Utils_excess,0.0199,0.00735212,0.00614816,0.0,0.0101419,0.0,0.0
1968-05-01,Durbl_excess,-0.0079,0.01197944,0.00519311,0.00197415,0.00457217,0.0,0.0
1968-05-01,Enrgy_excess,0.0079,0.00895323,0.0054282,0.0,0.00800709,0.00669732,0.00204762
1968-05-01,HiTec_excess,0.0338,0.01192964,0.01146725,0.01494834,0.0161729,0.01653998,0.01039081
1968-05-01,Hlth_excess,0.029,0.00971734,0.00970621,0.00988157,0.00589026,0.00722545,0.00209315
1968-05-01,Manuf_excess,0.0271,0.00949859,0.00616684,0.0,0.00833706,0.00120347,0.0
1968-05-01,NoDur_excess,0.0455,0.00716069,0.00574029,0.00897437,0.00643069,0.00659402,0.00343197
1968-05-01,Other_excess,0.0578,0.0076754,0.00504879,0.00163887,0.01020085,0.00804852,0.00146475
1968-05-01,Shops_excess,0.0298,0.00874496,0.00429291,0.00631391,0.00779328,0.00366282,4.035e-05
1968-05-01,Telcm_excess,-0.0118,0.00619657,0.00619346,0.0,0.00787077,0.00519228,0.00141644
1968-05-01,Utils_excess,-0.0001,0.00737742,0.00499889,0.00179605,0.00816573,0.00110988,0.0
1968-06-01,Durbl_excess,-0.0185,0.01193944,0.00535486,0.0,0.0052463,0.00492148,0.00236608
1968-06-01,Enrgy_excess,0.0141,0.00895111,0.00424634,0.0,0.00676583,0.006841,0.00460519
1968-06-01,HiTec_excess,-0.0246,0.01197364,0.01238857,0.01716287,0.01606545,0.0266792,0.02489754
1968-06-01,Hlth_excess,0.018,0.00975614,0.00974758,0.01002125,0.00630486,0.01239598,0.0111246
1968-06-01,Manuf_excess,-0.0065,0.009534,0.00611058,0.00083988,0.00747542,0.00922957,0.00709473
1968-06-01,NoDur_excess,0.0057,0.00723783,0.00642999,0.00917313,0.00712521,0.01141642,0.01170355
1968-06-01,Other_excess,0.026,0.00777626,0.00533372,0.0029129,0.00757357,0.01486954,0.01277735
1968-06-01,Shops_excess,0.0008,0.00878732,0.00710172,0.00550664,0.00856252,0.01241313,0.01144824
1968-06-01,Telcm_excess,0.0375,0.00616036,0.00615665,0.00074108,0.00579777,0.00676271,0.00606047
1968-06-01,Utils_excess,0.0802,0.00736237,0.00705944,0.00418004,0.00719653,0.01002999,0.00792278
1968-07-01,Durbl_excess,-0.034,0.01187831,0.00429342,0.0,0.00428794,0.0,0.0
1968-07-01,Enrgy_excess,0.048,0.00896145,0.00474286,0.0,0.00671054,0.00724401,0.00408243
1968-07-01,HiTec_excess,-0.0599,0.0119002,0.01140531,0.01618423,0.01606802,0.02238445,0.01969618
1968-07-01,Hlth_excess,-0.046,0.00977269,0.00976152,0.00972736,0.0059248,0.00781884,0.00581454
1968-07-01,Manuf_excess,-0.0445,0.00950181,0.00579037,0.00130739,0.00596024,0.00552953,0.00250444
1968-07-01,NoDur_excess,-0.0417,0.00723474,0.00588226,0.00851337,0.00696147,0.00858778,0.00869351
1968-07-01,Other_excess,-0.0349,0.00781285,0.00532897,0.003423,0.00765352,0.01455202,0.01165457
1968-07-01,Shops_excess,-0.0564,0.00877129,0.00472122,0.00496883,0.0076354,0.0067279,0.006258
1968-07-01,Telcm_excess,-0.0068,0.00622329,0.0062209,0.00249737,0.00750254,0.00945373,0.0093117
1968-07-01,Utils_excess,-0.003,0.00750863,0.00668904,0.00649426,0.01050295,0.009758,0.00847287
1968-08-01,Durbl_excess,0.0083,0.01178637,0.00433237,0.0,0.00388029,0.0,0.0
1968-08-01,Enrgy_excess,0.0088,0.00903968,0.00427677,0.00054182,0.00635522,0.00615651,0.00112995
1968-08-01,HiTec_excess,0.0012,0.01175631,0.01112223,0.01464446,0.01340821,0.02349302,0.02106213
1968-08-01,Hlth_excess,0.0026,0.00966092,0.00964934,0.00869079,0.0041896,0.00686327,0.00473217
1968-08-01,Manuf_excess,0.0292,0.00939359,0.00508167,0.00084855,0.00482821,0.00012653,0.0
1968-08-01,NoDur_excess,0.0232,0.00713667,0.00586372,0.00733272,0.00580239,0.01087976,0.0112777
1968-08-01,Other_excess,0.022,0.00772725,0.00503516,0.00274315,0.00749114,0.01277931,0.01011264
1968-08-01,Shops_excess,0.0184,0.00864068,0.00596522,0.00384009,0.00607142,0.01214425,0.01382109
1968-08-01,Telcm_excess,0.0087,0.00619719,0.00619624,0.00260125,0.00731956,0.01471852,0.01686017
1968-08-01,Utils_excess,-0.0129,0.00748758,0.00880082,0.00667941,0.0100759,0.01933357,0.0204167
1968-09-01,Durbl_excess,0.0621,0.0117794,0.00580845,0.00050921,0.00546158,0.0068318,0.00713786
1968-09-01,Enrgy_excess,0.0308,0.0090392,0.00285423,0.00067104,0.00622086,0.00435163,0.00209787
1968-09-01,HiTec_excess,0.0251,0.0117352,0.01168877,0.01291344,0.01359502,0.02718192,0.02825424
1968-09-01,Hlth_excess,0.0041,0.0096468,0.00963915,0.00870696,0.00266659,0.01319315,0.0140911
1968-09-01,Manuf_excess,0.0412,0.0094332,0.00539825,0.00055718,0.0073966,0.00618491,0.00413444
1968-09-01,NoDur_excess,0.0444,0.0071688,0.00659457,0.00802916,0.00646845,0.01425723,0.01692119
1968-09-01,Other_excess,0.0901,0.0077558,0.00512689,0.00305796,0.00796287,0.01517376,0.01617398
1968-09-01,Shops_excess,0.0741,0.0086602,0.00921111,0.00515583,0.00731915,0.01919485,0.02144465
1968-09-01,Telcm_excess,0.0254,0.0062022,0.00620037,0.00200217,0.00638422,0.01257454,0.01535801
1968-09-01,Utils_excess,-0.0017,0.0074468,0.00961482,0.00437371,0.01138523,0.02114062,0.02305374
1968-10-01,Durbl_excess,0.0423,0.01187984,0.00582126,0.00115199,0.00591869,0.00916925,0.00944857
1968-10-01,Enrgy_excess,0.0215,0.00908263,0.00380606,0.00045483,0.00556311,0.00657553,0.00688286
1968-10-01,HiTec_excess,-0.0534,0.01176188,0.0113234,0.0126255,0.01232994,0.02253845,0.02360202
1968-10-01,Hlth_excess,-0.0048,0.00963573,0.00962713,0.0084576,0.00378636,0.01314773,0.01382901
1968-10-01,Manuf_excess,0.0049,0.00949661,0.00583916,0.00059952,0.00686487,0.01044721,0.01099939
1968-10-01,NoDur_excess,0.0043,0.00724311,0.00635567,0.0086191,0.00587561,0.01077505,0.01245262
1968-10-01,Other_excess,0.0065,0.00792016,0.00540517,0.00415222,0.00730366,0.01562406,0.01668608
1968-10-01,Shops_excess,0.0025,0.00879082,0.00752372,0.00623596,0.00691911,0.01211371,0.01172791
1968-10-01,Telcm_excess,0.0273,0.00624052,0.00623688,0.00225738,0.00668521,0.0060049,0.00616977
1968-10-01,Utils_excess,0.0005,0.00742854,0.00694623,0.00366409,0.00688331,0.00975623,0.00919606
1968-11-01,Durbl_excess,-0.0056,0.01194044,0.00542367,0.00177459,0.00603964,0.00672321,0.00546535
1968-11-01,Enrgy_excess,0.0526,0.00910737,0.00430275,0.00088114,0.00433488,0.00708179,0.0069133
1968-11-01,HiTec_excess,0.0819,0.01163207,0.01058061,0.01149838,0.01016419,0.01662562,0.01600921
1968-11-01,Hlth_excess,0.077,0.00960697,0.00959683,0.00850423,0.00405616,0.01132322,0.01026991
1968-11-01,Manuf_excess,0.0535,0.00948745,0.00572057,0.0,0.00617902,0.00889183,0.00890677
1968-11-01,NoDur_excess,0.0425,0.00723725,0.0059276,0.00894554,0.00526154,0.00758708,0.00742768
1968-11-01,Other_excess,0.0729,0.00791733,0.00517312,0.00396409,0.00644778,0.01265343,0.01206849
1968-11-01,Shops_excess,0.0472,0.00877829,0.00581127,0.00640854,0.00613133,0.00627748,0.00335932
1968-11-01,Telcm_excess,0.0497,0.00628247,0.00627808,0.00171016,0.00638139,0.00259748,0.00014885
1968-11-01,Utils_excess,0.0839,0.00741474,0.00544951,0.00287226,0.00676121,0.00247641,0.0
1968-12-01,Durbl_excess,-0.0489,0.01190557,0.00583085,0.00244228,0.00488409,0.01195552,0.0123214
1968-12-01,Enrgy_excess,-0.0296,0.00919384,0.00366842,0.00114823,0.00377239,0.00673537,0.00779709
1968-12-01,HiTec_excess,-0.0577,0.01177177,0.01125294,0.01159374,0.003779,0.02041861,0.02140349
1968-12-01,Hlth_excess,-0.0145,0.00974095,0.00973377,0.00981882,0.00199295,0.01592167,0.01703076
1968-12-01,Manuf_excess,-0.0375,0.00957495,0.00590033,0.0,0.00390241,0.01174314,0.01303062
1968-12-01,NoDur_excess,-0.0145,0.00730736,0.00648243,0.01022283,0.00462497,0.00993591,0.01147892
1968-12-01,Other_excess,-0.0411,0.00804652,0.00546618,0.00519682,0.00678491,0.01544938,0.01653138
1968-12-01,Shops_excess,-0.0456,0.00885467,0.00774634,0.00805949,0.00702534,0.01099462,0.00831465
1968-12-01,Telcm_excess,-0.071,0.00636879,0.00636475,0.00179748,0.00381607,0.00296495,0.0008494
1968-12-01,Utils_excess,-0.0335,0.0075668,0.0066896,0.00230728,0.00662218,0.00592167,0.00340106
1969-01-01,Durbl_excess,-0.0225,0.01178492,0.00525548,0.00220152,0.00539945,0.01168055,0.01168008
1969-01-01,Enrgy_excess,-0.0167,0.00911687,0.00231533,0.00173168,0.0044027,0.00481304,0.00461102
1969-01-01,HiTec_excess,-0.0521,0.01163393,0.01121799,0.01207846,0.01095404,0.02144431,0.02242988
1969-01-01,Hlth_excess,-0.0076,0.00969286,0.00968597,0.01072125,0.00429141,0.01815844,0.01885979
1969-01-01,Manuf_excess,-0.0098,0.00948155,0.00524611,0.0,0.00673922,0.00982904,0.00984444
