date,model,cum_r2_os
1971-02-01,elastic_net_restricted,-0.013384532718743024
1971-02-01,ols4_restricted,0.0038037430461874246
1971-02-01,ols_restricted,-0.007157186439520191
1971-02-01,random_forest,-0.009892860833495876
1971-02-01,ridge_restricted,0.006935913920719061
1971-03-01,elastic_net_restricted,-0.016911292363344033
1971-03-01,ols4_restricted,0.0026160283399929707
1971-03-01,ols_restricted,-0.011293271576757557
1971-03-01,random_forest,-0.011339155473706586
1971-03-01,ridge_restricted,0.005865573028556792
1971-04-01,elastic_net_restricted,-0.017444730256802467
1971-04-01,ols4_restricted,0.0026506294271926413
1971-04-01,ols_restricted,-0.012764615587363637
1971-04-01,random_forest,-0.014338031195022416
1971-04-01,ridge_restricted,0.005362202473506661
1971-05-01,elastic_net_restricted,-0.013853644570574187
1971-05-01,ols4_restricted,0.00474390854431096
1971-05-01,ols_restricted,-0.00849505461660247
1971-05-01,random_forest,-0.009032276473902479
1971-05-01,ridge_restricted,0.007047404524347956
1971-06-01,elastic_net_restricted,-0.013593010823448503
1971-06-01,ols4_restricted,0.0044607469182498475
1971-06-01,ols_restricted,-0.00823438895607509
1971-06-01,random_forest,-0.009002443102362357
1971-06-01,ridge_restricted,0.007248447991129159
1971-07-01,elastic_net_restricted,-0.010888543202968459
1971-07-01,ols4_restricted,0.007348375308993483
1971-07-01,ols_restricted,-0.005096164432907724
1971-07-01,random_forest,-0.004495892828432502
1971-07-01,ridge_restricted,0.008899417991432757
1971-08-01,elastic_net_restricted,-0.011364251411294468
1971-08-01,ols4_restricted,0.005787530855642287
1971-08-01,ols_restricted,-0.006270977604373185
1971-08-01,random_forest,-0.005181470293170931
1971-08-01,ridge_restricted,0.007816905001851115
1971-09-01,elastic_net_restricted,-0.012338149316397717
1971-09-01,ols4_restricted,0.006922977291425514
1971-09-01,ols_restricted,-0.007913618511236198
1971-09-01,random_forest,-0.0042679850277529295
1971-09-01,ridge_restricted,0.008173008340741916
1971-10-01,elastic_net_restricted,-0.011802219418011328
1971-10-01,ols4_restricted,0.009564575850491053
1971-10-01,ols_restricted,-0.006807560989133976
1971-10-01,random_forest,-0.0025201944410607412
1971-10-01,ridge_restricted,0.008957033742834176
1971-11-01,elastic_net_restricted,-0.012349811033532821
1971-11-01,ols4_restricted,0.010130175194174562
1971-11-01,ols_restricted,-0.007677962764276713
1971-11-01,random_forest,-0.0026349353610733094
1971-11-01,ridge_restricted,0.009200095019509903
1971-12-01,elastic_net_restricted,-0.011836559883551845
1971-12-01,ols4_restricted,0.004881803990662248
1971-12-01,ols_restricted,-0.007037002028748874
1971-12-01,random_forest,-0.0024290188020465566
1971-12-01,ridge_restricted,0.007226952787539054
1972-01-01,elastic_net_restricted,-0.012138741162395583
1972-01-01,ols4_restricted,0.003765382591362887
1972-01-01,ols_restricted,-0.007198020959487272
1972-01-01,random_forest,-0.0038426913748785263
1972-01-01,ridge_restricted,0.006830876715510015
1972-02-01,elastic_net_restricted,-0.011454553971246862
1972-02-01,ols4_restricted,0.0037626449474275738
1972-02-01,ols_restricted,-0.0068849854454423485
1972-02-01,random_forest,-0.004807994317847586
1972-02-01,ridge_restricted,0.006470652492361384
1972-03-01,elastic_net_restricted,-0.011204657064964551
1972-03-01,ols4_restricted,0.004128818608197049
1972-03-01,ols_restricted,-0.006301932697548962
1972-03-01,random_forest,-0.004708264291949249
1972-03-01,ridge_restricted,0.0066493823352105075
1972-04-01,elastic_net_restricted,-0.0108943503479772
1972-04-01,ols4_restricted,0.00433809435694652
1972-04-01,ols_restricted,-0.00616470574668343
1972-04-01,random_forest,-0.0041196344552758115
1972-04-01,ridge_restricted,0.00689452888581873
1972-05-01,elastic_net_restricted,-0.011515257219126796
1972-05-01,ols4_restricted,0.003678340613963771
1972-05-01,ols_restricted,-0.006941796760911822
1972-05-01,random_forest,-0.004424709110041403
1972-05-01,ridge_restricted,0.006666924950538511
1972-06-01,elastic_net_restricted,-0.011759710247060717
1972-06-01,ols4_restricted,0.004960539135080722
1972-06-01,ols_restricted,-0.007617281849993907
1972-06-01,random_forest,-0.003106847097110188
1972-06-01,ridge_restricted,0.007382874444026022
1972-07-01,elastic_net_restricted,-0.012138929865521763
