date,asset_i,asset_j,inverse_covariance
1967-03-01,Manuf_excess,HiTec_excess,-1005.211298076
1967-03-01,Manuf_excess,Telcm_excess,-132.719774021
1967-03-01,Manuf_excess,Shops_excess,-89.3907405395
1967-03-01,Manuf_excess,Hlth_excess,-39.8762173584
1967-03-01,Manuf_excess,Utils_excess,310.9173729539
1967-03-01,Manuf_excess,Other_excess,-855.1434720638
1967-03-01,Enrgy_excess,NoDur_excess,-13.3271499963
1967-03-01,Enrgy_excess,Durbl_excess,-3.3186863907
1967-03-01,Enrgy_excess,Manuf_excess,-416.6712646701
1967-03-01,Enrgy_excess,Enrgy_excess,676.8094981657
1967-03-01,Enrgy_excess,HiTec_excess,82.0673644085
1967-03-01,Enrgy_excess,Telcm_excess,30.1242286763
1967-03-01,Enrgy_excess,Shops_excess,-11.0852468212
1967-03-01,Enrgy_excess,Hlth_excess,-47.0390472535
1967-03-01,Enrgy_excess,Utils_excess,-52.0519908373
1967-03-01,Enrgy_excess,Other_excess,-86.5001147243
1967-03-01,HiTec_excess,NoDur_excess,-129.9741244988
1967-03-01,HiTec_excess,Durbl_excess,-36.1739748465
1967-03-01,HiTec_excess,Manuf_excess,-1005.211298076
1967-03-01,HiTec_excess,Enrgy_excess,82.0673644085
1967-03-01,HiTec_excess,HiTec_excess,1445.4196623619
1967-03-01,HiTec_excess,Telcm_excess,-62.6876948257
1967-03-01,HiTec_excess,Shops_excess,-90.3433770752
1967-03-01,HiTec_excess,Hlth_excess,-182.2890956995
1967-03-01,HiTec_excess,Utils_excess,-295.9688425516
1967-03-01,HiTec_excess,Other_excess,65.7577034925
1967-03-01,Telcm_excess,NoDur_excess,-177.6682605672
1967-03-01,Telcm_excess,Durbl_excess,22.2899838924
1967-03-01,Telcm_excess,Manuf_excess,-132.719774021
1967-03-01,Telcm_excess,Enrgy_excess,30.1242286763
1967-03-01,Telcm_excess,HiTec_excess,-62.6876948257
1967-03-01,Telcm_excess,Telcm_excess,1523.6945580894
1967-03-01,Telcm_excess,Shops_excess,-66.6727205396
1967-03-01,Telcm_excess,Hlth_excess,-35.3405871159
1967-03-01,Telcm_excess,Utils_excess,-380.9541543469
1967-03-01,Telcm_excess,Other_excess,-93.8456561239
1967-03-01,Shops_excess,NoDur_excess,-990.3595482958
1967-03-01,Shops_excess,Durbl_excess,-235.5449119641
1967-03-01,Shops_excess,Manuf_excess,-89.3907405395
1967-03-01,Shops_excess,Enrgy_excess,-11.0852468212
1967-03-01,Shops_excess,HiTec_excess,-90.3433770752
1967-03-01,Shops_excess,Telcm_excess,-66.6727205396
1967-03-01,Shops_excess,Shops_excess,1544.1248791072
1967-03-01,Shops_excess,Hlth_excess,-132.8026467929
1967-03-01,Shops_excess,Utils_excess,-128.4646255452
1967-03-01,Shops_excess,Other_excess,78.3879054152
1967-03-01,Hlth_excess,NoDur_excess,-548.7596037759
1967-03-01,Hlth_excess,Durbl_excess,65.8648919114
1967-03-01,Hlth_excess,Manuf_excess,-39.8762173584
1967-03-01,Hlth_excess,Enrgy_excess,-47.0390472535
1967-03-01,Hlth_excess,HiTec_excess,-182.2890956995
1967-03-01,Hlth_excess,Telcm_excess,-35.3405871159
1967-03-01,Hlth_excess,Shops_excess,-132.8026467929
1967-03-01,Hlth_excess,Hlth_excess,919.3596583268
1967-03-01,Hlth_excess,Utils_excess,-28.8817677284
1967-03-01,Hlth_excess,Other_excess,26.5106544722
1967-03-01,Utils_excess,NoDur_excess,-57.6885136696
1967-03-01,Utils_excess,Durbl_excess,-12.8723452423
1967-03-01,Utils_excess,Manuf_excess,310.9173729539
1967-03-01,Utils_excess,Enrgy_excess,-52.0519908373
1967-03-01,Utils_excess,HiTec_excess,-295.9688425516
1967-03-01,Utils_excess,Telcm_excess,-380.9541543469
1967-03-01,Utils_excess,Shops_excess,-128.4646255452
1967-03-01,Utils_excess,Hlth_excess,-28.8817677284
1967-03-01,Utils_excess,Utils_excess,843.3722282669
1967-03-01,Utils_excess,Other_excess,-268.890245651
1967-03-01,Other_excess,NoDur_excess,-426.6058855986
1967-03-01,Other_excess,Durbl_excess,56.6480680038
1967-03-01,Other_excess,Manuf_excess,-855.1434720638
1967-03-01,Other_excess,Enrgy_excess,-86.5001147243
1967-03-01,Other_excess,HiTec_excess,65.7577034925
1967-03-01,Other_excess,Telcm_excess,-93.8456561239
1967-03-01,Other_excess,Shops_excess,78.3879054152
1967-03-01,Other_excess,Hlth_excess,26.5106544722
1967-03-01,Other_excess,Utils_excess,-268.890245651
1967-03-01,Other_excess,Other_excess,1300.506461855
1967-04-01,NoDur_excess,NoDur_excess,3617.1544025879
1967-04-01,NoDur_excess,Durbl_excess,-11.1283819241
1967-04-01,NoDur_excess,Manuf_excess,-332.0740344064
1967-04-01,NoDur_excess,Enrgy_excess,-20.3669427885
1967-04-01,NoDur_excess,HiTec_excess,-131.0868202539
1967-04-01,NoDur_excess,Telcm_excess,-167.5605035974
1967-04-01,NoDur_excess,Shops_excess,-994.2859696998
1967-04-01,NoDur_excess,Hlth_excess,-552.415049031
1967-04-01,NoDur_excess,Utils_excess,-59.2297910874
1967-04-01,NoDur_excess,Other_excess,-426.7766295418
1967-04-01,Durbl_excess,NoDur_excess,-11.1283819241
1967-04-01,Durbl_excess,Durbl_excess,656.3006884918
1967-04-01,Durbl_excess,Manuf_excess,-578.7583040526
1967-04-01,Durbl_excess,Enrgy_excess,-3.8911665673
1967-04-01,Durbl_excess,HiTec_excess,-36.3326352051
1967-04-01,Durbl_excess,Telcm_excess,23.1198404833
1967-04-01,Durbl_excess,Shops_excess,-236.6578810572
1967-04-01,Durbl_excess,Hlth_excess,66.3650827536
1967-04-01,Durbl_excess,Utils_excess,-13.3775394887
1967-04-01,Durbl_excess,Other_excess,56.4462808124
1967-04-01,Manuf_excess,NoDur_excess,-332.0740344064
1967-04-01,Manuf_excess,Durbl_excess,-578.7583040526
1967-04-01,Manuf_excess,Manuf_excess,3002.8462967633
1967-04-01,Manuf_excess,Enrgy_excess,-418.5405219077
1967-04-01,Manuf_excess,HiTec_excess,-1005.4089183159
1967-04-01,Manuf_excess,Telcm_excess,-130.0472073217
1967-04-01,Manuf_excess,Shops_excess,-89.2944034975
1967-04-01,Manuf_excess,Hlth_excess,-41.9911766241
1967-04-01,Manuf_excess,Utils_excess,311.0532123949
1967-04-01,Manuf_excess,Other_excess,-854.9191713766
1967-04-01,Enrgy_excess,NoDur_excess,-20.3669427885
1967-04-01,Enrgy_excess,Durbl_excess,-3.8911665673
1967-04-01,Enrgy_excess,Manuf_excess,-418.5405219077
1967-04-01,Enrgy_excess,Enrgy_excess,681.6592421383
1967-04-01,Enrgy_excess,HiTec_excess,82.9462197043
